,0
0,-0.0838397964835167
1,-0.09039469808340073
2,-0.09497726708650589
3,-0.09818312525749207
4,-0.10044590383768082
5,-0.10207363218069077
6,-0.1032804474234581
7,-0.1042124405503273
8,-0.10496736317873001
9,-0.1056094765663147
10,-0.10618036240339279
11,-0.10670622438192368
12,-0.10720353573560715
13,-0.10768213123083115
14,-0.10814792662858963
15,-0.10860438644886017
16,-0.10905349254608154
17,-0.10949624329805374
18,-0.10993324965238571
19,-0.11036491394042969
20,-0.11079135537147522
21,-0.11121269315481186
22,-0.11162906140089035
23,-0.11204062402248383
24,-0.11244741082191467
25,-0.11284954100847244
26,-0.11324716359376907
27,-0.11364041268825531
28,-0.11402934789657593
29,-0.11441409587860107
30,-0.11479467153549194
31,-0.11517128348350525
32,-0.1155439019203186
33,-0.11591266095638275
34,-0.1162775531411171
35,-0.11663871258497238
36,-0.11699610948562622
37,-0.11734980344772339
38,-0.11769990622997284
39,-0.11804641783237457
40,-0.11838941276073456
41,-0.11872891336679459
42,-0.11906494945287704
43,-0.1193975955247879
44,-0.11972677707672119
45,-0.12005265057086945
46,-0.1203751340508461
47,-0.12069439888000488
48,-0.12101038545370102
49,-0.12132307887077332
