,0
0,-0.05838368833065033
1,-0.05766062065958977
2,-0.05746423825621605
3,-0.05763787403702736
4,-0.05806523934006691
5,-0.05866255983710289
6,-0.059370674192905426
7,-0.060148779302835464
8,-0.06096920743584633
9,-0.06181352958083153
10,-0.0626697987318039
11,-0.06353021413087845
12,-0.06439001858234406
13,-0.06524625420570374
14,-0.06609708070755005
15,-0.06694156676530838
16,-0.06777908653020859
17,-0.06860937178134918
18,-0.06943229585886002
19,-0.07024774700403214
20,-0.0710558071732521
21,-0.07185641676187515
22,-0.07264966517686844
23,-0.07343557476997375
24,-0.07421421259641647
25,-0.074985571205616
26,-0.07574979215860367
27,-0.0765068456530571
28,-0.07725677639245987
29,-0.07799966633319855
30,-0.07873552292585373
31,-0.07946441322565079
32,-0.08018636703491211
33,-0.08090146631002426
34,-0.08160973340272903
35,-0.0823112428188324
36,-0.08300601691007614
37,-0.0836942046880722
38,-0.0843757688999176
39,-0.0850507840514183
40,-0.0857192799448967
41,-0.08638139814138412
42,-0.0870371088385582
43,-0.08768649399280548
44,-0.08832959085702896
45,-0.08896645158529282
46,-0.0895971953868866
47,-0.0902218222618103
48,-0.09084038436412811
49,-0.09145296365022659
