,0
0,-0.008717103861272335
1,-0.007401329930871725
2,-0.006950329523533583
3,-0.007106600794941187
4,-0.007679452653974295
5,-0.008531409315764904
6,-0.009565615095198154
7,-0.010715235024690628
8,-0.011935029178857803
9,-0.01319494191557169
10,-0.01447535865008831
11,-0.015763746574521065
12,-0.01705227605998516
13,-0.018336141481995583
14,-0.019612528383731842
15,-0.02087978832423687
16,-0.02213706634938717
17,-0.023383906111121178
18,-0.02462010644376278
19,-0.02584563009440899
20,-0.027060488238930702
21,-0.028264692053198814
22,-0.029458334669470787
23,-0.030641501769423485
24,-0.03181423619389534
25,-0.032976601272821426
26,-0.03412869945168495
27,-0.035270560532808304
28,-0.03640224412083626
29,-0.03752382472157478
30,-0.03863534703850746
31,-0.039736878126859665
32,-0.04082847759127617
33,-0.04191025719046593
34,-0.04298223555088043
35,-0.04404449462890625
36,-0.04509708657860756
37,-0.04614010080695152
38,-0.04717360436916351
39,-0.04819764569401741
40,-0.04921230673789978
41,-0.050217680633068085
42,-0.0512138195335865
43,-0.0522008016705513
44,-0.05317872762680054
45,-0.0541476346552372
46,-0.05510761961340904
47,-0.05605870485305786
48,-0.057001009583473206
49,-0.057934585958719254
