,0
0,0.3331984281539917
1,0.3223915696144104
2,0.3175325095653534
3,0.31665462255477905
4,0.31838446855545044
5,0.32179680466651917
6,0.3262862265110016
7,0.33146631717681885
8,0.33709555864334106
9,0.34302544593811035
10,0.3491664528846741
11,0.35546478629112244
12,0.3618888556957245
13,0.36841899156570435
14,0.3750435411930084
15,0.381754994392395
16,0.3885481655597687
17,0.3954196870326996
18,0.40236639976501465
19,0.4093862473964691
20,0.4164772629737854
21,0.4236380457878113
22,0.4308668375015259
23,0.43816277384757996
24,0.44552430510520935
25,0.45295074582099915
26,0.460440993309021
27,0.4679940640926361
28,0.47560903429985046
29,0.4832853376865387
30,0.49102187156677246
31,0.49881768226623535
32,0.5066718459129333
33,0.5145838856697083
34,0.5225527286529541
35,0.5305771231651306
36,0.5386561751365662
37,0.5467888712882996
38,0.554974377155304
39,0.5632110238075256
40,0.5714978575706482
41,0.5798336863517761
42,0.5882173776626587
43,0.5966470241546631
44,0.6051217317581177
45,0.6136397123336792
46,0.622199535369873
47,0.6308000087738037
48,0.6394386291503906
49,0.6481144428253174
