,0
0,-0.09790089726448059
1,-0.10358119010925293
2,-0.10684402287006378
3,-0.10852696001529694
4,-0.10919424891471863
5,-0.10921560227870941
6,-0.10882765054702759
7,-0.10817864537239075
8,-0.10736028850078583
9,-0.10642841458320618
10,-0.1054169088602066
11,-0.10434623062610626
12,-0.10322888195514679
13,-0.10207292437553406
14,-0.10088351368904114
15,-0.09966416656970978
16,-0.09841753542423248
17,-0.09714539349079132
18,-0.09584930539131165
19,-0.09453056752681732
20,-0.09319010376930237
21,-0.09182874858379364
22,-0.09044702351093292
23,-0.0890454351902008
24,-0.08762426674365997
25,-0.08618386089801788
26,-0.0847243219614029
27,-0.08324562013149261
28,-0.08174790441989899
29,-0.08023108541965485
30,-0.07869511842727661
31,-0.07713986933231354
32,-0.07556530833244324
33,-0.07397128641605377
34,-0.07235755026340485
35,-0.0707239955663681
36,-0.06907039880752563
37,-0.06739658117294312
38,-0.06570228934288025
39,-0.06398732960224152
40,-0.06225133314728737
41,-0.060494180768728256
42,-0.05871552601456642
43,-0.05691514536738396
44,-0.05509283021092415
45,-0.05324831232428551
46,-0.05138133838772774
47,-0.049491554498672485
48,-0.04757873713970184
49,-0.045642636716365814
