,0
0,0.036552973091602325
1,0.036229077726602554
2,0.03703594207763672
3,0.03861970454454422
4,0.04072752594947815
5,0.043185967952013016
6,0.04587991535663605
7,0.04873509332537651
8,0.05170457810163498
9,0.054759468883275986
10,0.05788228660821915
11,0.0610627755522728
12,0.06429491937160492
13,0.06757530570030212
14,0.07090200483798981
15,0.07427403330802917
16,0.07769094407558441
17,0.08115242421627045
18,0.08465854823589325
19,0.0882093608379364
20,0.09180502593517303
21,0.09544581174850464
22,0.09913197159767151
23,0.10286383330821991
24,0.10664176940917969
25,0.11046603322029114
26,0.11433711647987366
27,0.11825549602508545
28,0.12222146987915039
29,0.12623561918735504
30,0.13029836118221283
31,0.13441017270088196
32,0.13857153058052063
33,0.14278291165828705
34,0.1470448225736618
35,0.15135779976844788
36,0.15572227537631989
37,0.16013871133327484
38,0.1646077185869217
39,0.1691296249628067
40,0.1737051010131836
41,0.17833450436592102
42,0.18301837146282196
43,0.18775713443756104
44,0.1925513595342636
45,0.19740131497383118
46,0.2023077756166458
47,0.20727093517780304
48,0.21229150891304016
49,0.2173697054386139
