,0
0,-0.17782612144947052
1,-0.17813368141651154
2,-0.1782306432723999
3,-0.1781616508960724
4,-0.17797131836414337
5,-0.17769668996334076
6,-0.1773659884929657
7,-0.1769988238811493
8,-0.17660844326019287
9,-0.17620331048965454
10,-0.1757887452840805
11,-0.1753675937652588
12,-0.17494173347949982
13,-0.1745118498802185
14,-0.17407813668251038
15,-0.1736406832933426
16,-0.17319944500923157
17,-0.172754168510437
18,-0.17230461537837982
19,-0.17185065150260925
20,-0.17139197885990143
21,-0.17092855274677277
22,-0.1704603135585785
23,-0.16998688876628876
24,-0.16950823366641998
25,-0.1690242439508438
26,-0.16853497922420502
27,-0.1680402308702469
28,-0.1675397753715515
29,-0.16703374683856964
30,-0.16652193665504456
31,-0.16600438952445984
32,-0.16548070311546326
33,-0.1649511307477951
34,-0.16441543400287628
35,-0.1638735681772232
36,-0.16332556307315826
37,-0.16277113556861877
38,-0.1622103899717331
39,-0.1616431623697281
40,-0.16106928884983063
41,-0.1604887843132019
42,-0.15990155935287476
43,-0.15930761396884918
44,-0.15870670974254608
45,-0.15809893608093262
46,-0.15748398005962372
47,-0.15686187148094177
48,-0.15623262524604797
49,-0.15559600293636322
